Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,female,18,1,0,227.525,C
1,male,35,0,0,26.2875,S
3,female,18,0,1,14.4542,C
3,male,25,0,0,7.7417,Q
3,male,26,1,0,7.8542,S
2,male,39,0,0,26,S
2,female,45,0,0,13.5,S
1,male,42,0,0,26.2875,S
1,female,22,0,0,151.55,S
3,male,,1,1,15.2458,C
1,female,24,0,0,49.5042,C
1,male,,0,0,26.55,S
1,male,48,1,0,52,S
3,male,29,0,0,9.4833,S
2,male,52,0,0,13,S
3,male,19,0,0,7.65,S
1,female,38,0,0,227.525,C
2,female,27,0,0,10.5,S
3,male,,0,0,15.5,Q
3,male,33,0,0,7.775,S
2,female,6,0,1,33,S
3,male,17,1,0,7.0542,S
2,male,34,0,0,13,S
2,male,50,0,0,13,S
1,male,27,1,0,53.1,S
3,male,20,0,0,8.6625,S
2,female,30,3,0,21,S
3,female,,0,0,7.7375,Q
2,male,25,1,0,26,S
3,female,25,1,0,7.925,S
1,female,29,0,0,211.3375,S
3,male,11,0,0,18.7875,C
2,male,,0,0,0,S
2,male,23,0,0,13,S
2,male,23,0,0,13,S
3,male,28.5,0,0,16.1,S
3,female,48,1,3,34.375,S
1,male,35,0,0,512.3292,C
3,male,,0,0,7.8958,S
3,male,,0,0,7.8958,S
1,male,,0,0,30,S
1,male,36,1,0,78.85,S
1,female,21,2,2,262.375,C
3,male,24,1,0,16.1,S
3,male,31,0,0,7.925,S
1,male,70,1,1,71,S
3,male,16,1,1,20.25,S
2,female,30,0,0,13,S
1,male,19,1,0,53.1,S
3,male,31,0,0,7.75,Q
2,female,4,1,1,23,S
3,male,6,0,1,12.475,S
3,male,33,0,0,9.5,S
3,male,23,0,0,7.8958,S
2,female,48,1,2,65,S
2,male,0.67,1,1,14.5,S
3,male,28,0,0,7.7958,S
2,male,18,0,0,11.5,S
3,male,34,0,0,8.05,S
1,female,33,0,0,86.5,S
3,male,,0,0,14.5,S
3,male,41,0,0,7.125,S
3,male,20,0,0,7.2292,C
1,female,36,1,2,120,S
3,male,16,0,0,7.775,S
1,female,51,1,0,77.9583,S
1,male,,0,0,39.6,C
3,female,30.5,0,0,7.75,Q
3,male,,1,0,24.15,Q
3,male,32,0,0,8.3625,S
3,male,24,0,0,9.5,S
3,male,48,0,0,7.8542,S
2,female,57,0,0,10.5,S
3,male,,0,0,7.225,C
2,female,54,1,3,23,S
3,male,18,0,0,7.75,S
3,male,,0,0,7.75,Q
3,female,5,0,0,12.475,S
3,male,,0,0,7.7375,Q
1,female,43,0,1,211.3375,S
3,female,13,0,0,7.2292,C
1,female,17,1,0,57,S
1,male,29,0,0,30,S
3,male,,1,2,23.45,S
3,male,25,0,0,7.05,S
3,male,25,0,0,7.25,S
3,female,18,0,0,7.4958,S
3,male,8,4,1,29.125,Q
3,male,1,1,2,20.575,S
1,male,46,0,0,79.2,C
3,male,,0,0,7.75,Q
2,male,16,0,0,26,S
3,female,,8,2,69.55,S
1,male,,0,0,30.6958,C
3,male,25,0,0,7.8958,S
2,male,39,0,0,13,S
1,female,49,0,0,25.9292,S
3,female,31,0,0,8.6833,S
3,male,30,0,0,7.2292,C
3,female,30,1,1,24.15,S
2,male,34,0,0,13,S
2,female,31,1,1,26.25,S
1,male,11,1,2,120,S
3,male,0.42,0,1,8.5167,C
3,male,27,0,0,6.975,S
3,male,31,0,0,7.775,S
1,male,39,0,0,0,S
3,female,18,0,0,7.775,S
2,male,39,0,0,13,S
1,female,33,1,0,53.1,S
3,male,26,0,0,7.8875,S
3,male,39,0,0,24.15,S
2,male,35,0,0,10.5,S
3,female,6,4,2,31.275,S
3,male,30.5,0,0,8.05,S
1,male,,0,0,0,S
3,female,23,0,0,7.925,S
2,male,31,1,1,37.0042,C
3,male,43,0,0,6.45,S
3,male,10,3,2,27.9,S
1,female,52,1,1,93.5,S
3,male,27,0,0,8.6625,S
1,male,38,0,0,0,S
3,female,27,0,1,12.475,S
3,male,2,4,1,39.6875,S
3,male,,0,0,6.95,Q
3,male,,0,0,56.4958,S
2,male,1,0,2,37.0042,C
3,male,,0,0,7.75,Q
1,female,62,0,0,80,
3,female,15,1,0,14.4542,C
2,male,0.83,1,1,18.75,S
3,male,,0,0,7.2292,C
3,male,23,0,0,7.8542,S
3,male,18,0,0,8.3,S
1,female,39,1,1,83.1583,C
3,male,21,0,0,8.6625,S
3,male,,0,0,8.05,S
3,male,32,0,0,56.4958,S
1,male,,0,0,29.7,C
3,male,20,0,0,7.925,S
2,male,16,0,0,10.5,S
1,female,30,0,0,31,C
3,male,34.5,0,0,6.4375,C
3,male,17,0,0,8.6625,S
3,male,42,0,0,7.55,S
3,male,,8,2,69.55,S
3,male,35,0,0,7.8958,C
2,male,28,0,1,33,S
1,female,,1,0,89.1042,C
3,male,4,4,2,31.275,S
3,male,74,0,0,7.775,S
3,female,9,1,1,15.2458,C
1,female,16,0,1,39.4,S
2,female,44,1,0,26,S
3,female,18,0,1,9.35,S
1,female,45,1,1,164.8667,S
1,male,51,0,0,26.55,S
3,female,24,0,3,19.2583,C
3,male,,0,0,7.2292,C
3,male,41,2,0,14.1083,S
2,male,21,1,0,11.5,S
1,female,48,0,0,25.9292,S
3,female,,8,2,69.55,S
2,male,24,0,0,13,S
2,female,42,0,0,13,S
2,female,27,1,0,13.8583,C
1,male,31,0,0,50.4958,S
3,male,,0,0,9.5,S
3,male,4,1,1,11.1333,S
3,male,26,0,0,7.8958,S
1,female,47,1,1,52.5542,S
1,male,33,0,0,5,S
3,male,47,0,0,9,S
2,female,28,1,0,24,C
3,female,15,0,0,7.225,C
3,male,20,0,0,9.8458,S
3,male,19,0,0,7.8958,S
3,male,,0,0,7.8958,S
1,female,56,0,1,83.1583,C
2,female,25,0,1,26,S
3,male,33,0,0,7.8958,S
3,female,22,0,0,10.5167,S
2,male,28,0,0,10.5,S
3,male,25,0,0,7.05,S
3,female,39,0,5,29.125,Q
2,male,27,0,0,13,S
1,female,19,0,0,30,S
3,female,,1,2,23.45,S
1,male,26,0,0,30,C
3,male,32,0,0,7.75,Q
